                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     67,                0.47484,                0.26477,                 1.0804,                0.99427,                0.99557,                0.99462,                 0.9288,                0.43923,                0.19481,                 1.0783,              0.0018325,              0.0018325,              0.0018325
                     68,                0.47136,                0.26296,                 1.0791,                0.99407,                0.99611,                0.99462,                0.92942,                0.43787,                0.19453,                 1.0772,              0.0017087,              0.0017087,              0.0017087
                     69,                0.46265,                0.25932,                 1.0731,                0.99459,                0.99524,                0.99456,                0.92856,                0.43763,                0.19511,                 1.0775,               0.001585,               0.001585,               0.001585
                     70,                0.46025,                0.25853,                 1.0728,                 0.9941,                0.99577,                0.99454,                0.92958,                0.43666,                0.19514,                 1.0767,              0.0014612,              0.0014612,              0.0014612
                     71,                0.45211,                0.25359,                 1.0635,                0.99404,                0.99616,                0.99456,                0.92893,                0.43554,                0.19442,                 1.0761,              0.0013375,              0.0013375,              0.0013375
                     72,                0.45226,                0.25252,                 1.0654,                0.99379,                0.99537,                 0.9945,                 0.9289,                0.43481,                0.19468,                  1.076,              0.0012138,              0.0012138,              0.0012138
                     73,                0.45342,                0.25395,                 1.0649,                0.99324,                0.99617,                0.99451,                 0.9284,                0.43392,                 0.1937,                 1.0756,                0.00109,                0.00109,                0.00109
                     74,                0.43943,                0.24702,                 1.0547,                0.99268,                0.99543,                0.99448,                0.92892,                0.43316,                0.19358,                 1.0752,             0.00096625,             0.00096625,             0.00096625
                     75,                0.43551,                0.24315,                  1.055,                0.99267,                0.99562,                0.99453,                 0.9305,                0.43231,                0.19359,                 1.0747,              0.0008425,              0.0008425,              0.0008425
                     76,                0.42986,                0.24014,                   1.05,                0.99243,                0.99487,                0.99457,                0.93139,                0.43166,                0.19293,                 1.0747,             0.00071875,             0.00071875,             0.00071875
                     77,                0.42588,                0.24276,                 1.0467,                0.99342,                0.99547,                0.99456,                0.93134,                 0.4313,                0.19314,                 1.0749,               0.000595,               0.000595,               0.000595
                     78,                0.42592,                0.23885,                 1.0489,                0.99315,                0.99433,                0.99455,                0.93123,                0.43116,                0.19285,                 1.0751,             0.00047125,             0.00047125,             0.00047125
                     79,                0.41946,                0.23481,                 1.0433,                0.99345,                 0.9945,                0.99454,                0.93166,                0.43087,                0.19301,                  1.075,              0.0003475,              0.0003475,              0.0003475
